AWE150H;H_VC;"1-1/2"" SHUT-OFF VALVE,ANGLE,EXTENDED NECK,BW,HW";834
AWE200C;H_VC;"2"" SHUT-OFF VALVE,ANGLE.EXTENDED.NECK,BW,SC";932
AWE200H;H_VC;"2"" SHUT-OFF VALVE,ANG.EXT.NECK,BW,HW";932
AWE251C;H_VC;"2-1/2""NH3 ANG. SHUT-OFF,EXT NECK WELDED,SC";1226
AWE251H;H_VC;"2-1/2""NH3 SHUT-OFF,ANGLE,EXT NECK,WELDED,HW";1226
AWE301C;H_VC;"3"" SHUT-OFF VALVE,ANG,EXTENDED NECK,BW,SC";1669
AWE301H;H_VC;"3""SHUT-OFF VALVE,ANG.EXT NECK,BW,HW";1669
AWE402C;H_VC;"4"" SHUT-OFF VALVE, ANG.,EXTENDED  NECK,BW,SC";2181
AWE402H;H_VC;"4"" SHUT-OFF VALVE, ANGLE, EXT.NECK,BW,HW";2181
BT1;H_VC;"EZ-FITTING, 1/2"" MPT INLET X 3/4"" OUTLET";217
BT2;H_VC;"EZ-FITTING, 3/4"" MPT INLET X 1"" OUTLET";333
BW1;H_VC;"EZ-FITTING, 1/2"" BW INLET X 3/4"" OUTLET";219
CHCK5DW/4042;H_VC;"1-1/2""(40MM)SLF-EQ.SUC.STOP,WELD-IN 1-1/2""BW, 51BAR";3138
CHCK5DW/5052;H_VC;"2"" (50MM) SELF-EQ GAS SUC.STOP VLV WELD-IN-2"" BW, 51BAR";3298
CHCK5DW/6062;H_VC;"2-1/2""(65MM)SLF-EQ. GAS SUC.STOP VLV WELD-IN-2-1/2"" BW, 51 BAR";4101
CHCK5DW/7072;H_VC;"3""(80MM) SELF-EQ. GAS SUC.STOP VLV WELD-IN-LINE, 51 BAR";4861
COV;H_VC;TOP METAL CVR HANSEN HLL SERIES OF REF FLT SWTH;197
EZB/150;H_VC;EZ-SRV CARTRIDGE RELIEF VLV, BARE;433
EZB/150-BT1;H_VC;"EZ-SRV CARTRIDGE RELF VLV, 1/2"" MPT W/ FITTING";650
EZB/150-BT2;H_VC;"EZ-SRV CARTRIDGE RELF VLV, 3/4"" MPT W/FITTING";759
EZB/150-BW1;H_VC;"EZ-SRV CARTRIDGE RELF VLV, 1/2"" BW W/ FITTING";650
EZB/150-BW2;H_VC;"EZ-SRV CARTRIDGE RELIEF VLV, 3/4"" BW W/ FITTING";759
EZB/16E-BW1;H_VC;"EZ-SRV CART RLF,1/2"" BW W/ FTG,CATIV,MODB&D,EF104";650
EZB/19E-BW2;H_VC;"EZ-SRV CART RLF,3/4"" BW W/ FTG,CATIV,MODB&D,EF104";759
EZB/200;H_VC;EZ-SRV CARTRIDGE RELIEF VLV, BARE;433
